Id,What is your age?,What is your gender?,What best describes your relationship status?,"On a scale of 1-15, 1 being not religious at all, and 15 being very religious, please identify how religious you are:",What is your highest level of education?,What is your gross annual household income?,What country/culture do you most identify with? (ex. Canada/Canadian),"On a scale of 1-15, 1 being not at all and 15 being completely, how important is having children to you?",10) What is your ideal number of children?,How many biological children do you have?,How many biological siblings do you have?,"On a scale of 1-15 (1 being no influence, 15 being very influential) how much influence do you have over family planning decisions?",Rank the factors that most influence your decision to have biological children and rank them from 1- 8 (1 being most influential and 8 being least influential):,Standardized_Religion
29,35-39,Female,Single,1,High School Diploma,"$50,000 � $74,999",Canadian/british,15,Two,One,Four,15,Relationship Status (or lack thereof);Personal Choice;Personal Health;Time/Help Availability;Significant Other�s Opinion;Employment Status;Income;Religion;,Atheist
55,60-64,Female,Married,15,Master,"$100,000 � $149,999",Canada,15,Two,Two,Four,15,Employment Status;Income;Religion;Relationship Status (or lack thereof);Personal Health;Personal Choice;Time/Help Availability;Significant Other�s Opinion;,Catholic
152,25-29,Female,Single,5,High School Diploma,"$75,000 � $99,999",Canada,15,Three,Three,Four,15,Employment Status;Income;Time/Help Availability;Personal Choice;Personal Health;Religion;Relationship Status (or lack thereof);Significant Other�s Opinion,Christian
227,65-69,Female,Married,13,Master,,Canada,15,Three,Zero,Four,15,Personal Health;Relationship Status (or lack thereof);Significant Other�s Opinion;Personal Choice;Employment Status;Religion;Income;Time/Help Availability,Christian
249,70+,Female,Widow,1,Bachelor,"$75,000 � $99,999",Canada,15,Three,Three,Four,15,,
63,50-54,Male,In a relationship,1,High School Diploma,"$100,000 � $149,999",Canadian,15,One,One,One,1,Income;Religion;Employment Status;Personal Choice;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Significant Other�s Opinion;,Atheist
43,0-18,Male,Single,15,No High School Diploma,,,15,Two,Zero,One,10,Religion;Income;Employment Status;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion;,
103,35-39,Female,Separated,10,Bachelor,"$50,000 � $74,999",Canadian,15,Three,Three,One,10,Income;Employment Status;Time/Help Availability;Personal Choice;Personal Health;Relationship Status (or lack thereof);Religion;Significant Other�s Opinion,Christian
122,0-18,Female,In a relationship,1,No High School Diploma,"Under $50,000",Canadian,15,Two,Zero,One,10,Personal Choice;Significant Other�s Opinion;Personal Health;Employment Status;Income;Time/Help Availability;Relationship Status (or lack thereof);Religion,
165,30-34,Female,Married,8,High School Diploma,"$100,000 � $149,999",Canada/ Indian ,15,Two,One,One,10,Personal Choice;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Employment Status;Significant Other�s Opinion;Religion;Income,Muslim/Islam
183,19-24,Male,In a relationship,2,High School Diploma,"Under $50,000",Canadian ,15,Two,Zero,One,10,Income;Personal Choice;Relationship Status (or lack thereof);Personal Health;Religion;Employment Status;Time/Help Availability;Significant Other�s Opinion,Jewish
188,45-49,Female,Married,1,High School Diploma,"$200,000 � $249,999",Canada,15,Two,Three,One,10,Personal Choice;Significant Other�s Opinion;Personal Health;Income;Employment Status;Time/Help Availability;Relationship Status (or lack thereof);Religion,Atheist
193,19-24,Male,In a relationship,10,High School Diploma,"Under $50,000",ukraine,15,Two,Zero,One,10,Personal Choice;Income;Religion;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Significant Other�s Opinion,
219,35-39,Female,Married,10,Bachelor,"$50,000 � $74,999",Canadian,15,Three,Three,One,10,Relationship Status (or lack thereof);Personal Health;Time/Help Availability;Personal Choice;Significant Other�s Opinion;Income;Religion;Employment Status,Christian
20,40-44,Male,Married,1,Bachelor,"$200,000 � $249,999",Canadian ,15,One,One,One,11,Income;Religion;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Significant Other�s Opinion;Employment Status;Personal Choice;,
64,45-49,Male,Married,8,High School Diploma,"$75,000 � $99,999",Canadian ,15,Two,Two,One,12,Time/Help Availability;Income;Personal Health;Religion;Personal Choice;Employment Status;Relationship Status (or lack thereof);Significant Other�s Opinion;,
205,30-34,Female,Married,9,Bachelor,"Above $300,000",Bosnian/Canadian,15,Two,Two,One,12,Personal Health;Personal Choice;Significant Other�s Opinion;Time/Help Availability;Employment Status;Income;Religion;Relationship Status (or lack thereof),Muslim/Islam
12,60-64,Female,Single,3,PhD,"$150,000 � $199,999",canadian,15,Two,Two,One,13,Personal Health;Personal Choice;Income;Time/Help Availability;Employment Status;Relationship Status (or lack thereof);Significant Other�s Opinion;Religion;,Atheist
27,19-24,Male,Single,15,Bachelor,"Under $50,000",India,15,Two,Zero,One,13,Personal Choice;Personal Health;Relationship Status (or lack thereof);Religion;Significant Other�s Opinion;Employment Status;Income;Time/Help Availability;,Sikh
87,35-39,Female,Married,3,High School Diploma,"$100,000 � $149,999",Canadian,15,Two,Two,One,13,Personal Choice;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Significant Other�s Opinion;Income;Employment Status;Religion;,Christian
128,30-34,Female,Married,3,Bachelor,"$150,000 � $199,999",Canada,15,Two,One,One,13,Relationship Status (or lack thereof);Personal Health;Personal Choice;Significant Other�s Opinion;Income;Employment Status;Religion;Time/Help Availability,Buddhist
198,30-34,Female,Married,10,Master,"$50,000 � $74,999",Sri Lanka,15,Three,One,One,13,Personal Choice;Income;Employment Status;Religion;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Significant Other�s Opinion,Buddhist
230,45-49,Male,Married,14,PhD,"$200,000 � $249,999",Korea/Korean,15,Three,Three,One,14,Personal Choice;Employment Status;Personal Health;Time/Help Availability;Significant Other�s Opinion;Religion;Income;Relationship Status (or lack thereof),Catholic
255,60-64,Female,Married,8,Bachelor,,canada ,15,Two,Two,One,14,Personal Choice;Significant Other�s Opinion;Time/Help Availability;Personal Health;Employment Status;Relationship Status (or lack thereof);Income;Religion,Catholic
19,35-39,Female,Married,9,High School Diploma,"$75,000 � $99,999",Canadian ,15,Two,Two,One,15,Income;Religion;Personal Choice;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Significant Other�s Opinion;,Christian
49,30-34,Male,Married,8,Bachelor,"$250,000 � $299,999",Canada ,15,Two,Zero,One,15,Personal Choice;Income;Religion;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Significant Other�s Opinion;,Sikh
81,35-39,Male,Married,15,Bachelor,"$150,000 � $199,999",Egypt,15,Two,One,One,15,Relationship Status (or lack thereof);Significant Other�s Opinion;Employment Status;Income;Religion;Personal Health;Personal Choice;Time/Help Availability;,Christian
84,50-54,Female,Married,1,Bachelor,"$150,000 � $199,999",Canadian,15,Four,Two,One,15,Personal Choice;Relationship Status (or lack thereof);Significant Other�s Opinion;Personal Health;Income;Time/Help Availability;Employment Status;Religion;,Agnostic
149,19-24,Male,Single,5,Bachelor,"$200,000 � $249,999",Canada,15,Two,Zero,One,15,Relationship Status (or lack thereof);Significant Other�s Opinion;Time/Help Availability;Personal Choice;Income;Personal Health;Employment Status;Religion,Catholic
166,40-44,Female,Married,1,Bachelor,"$150,000 � $199,999",Canadian,15,Three,Two,One,15,Income;Time/Help Availability;Employment Status;Relationship Status (or lack thereof);Personal Health;Significant Other�s Opinion;Personal Choice;Religion,Atheist
185,40-44,Male,Married,14,Bachelor,"$100,000 � $149,999",India ,15,Two,Two,One,15,Income;Personal Choice;Personal Health;Time/Help Availability;Employment Status;Religion;Relationship Status (or lack thereof);Significant Other�s Opinion,Hindu
208,19-24,Female,In a relationship,15,Bachelor,"Under $50,000",korean,15,Two,Zero,One,15,Relationship Status (or lack thereof);Significant Other�s Opinion;Income;Religion;Employment Status;Personal Choice;Time/Help Availability;Personal Health,Christian
239,60-64,Female,Married,3,High School Diploma,,Canadian ,15,Two,Two,One,15,Personal Choice;Relationship Status (or lack thereof);Significant Other�s Opinion;Employment Status;Income;Personal Health;Time/Help Availability;Religion,None
257,45-49,Male,Married,14,Bachelor,"$75,000 � $99,999",indian ,15,Two,Two,One,15,,Hindu
263,35-39,Male,Married,10,Bachelor,"$250,000 � $299,999",Canada,15,Two,Two,One,15,Income;Personal Choice;Personal Health;Relationship Status (or lack thereof);Employment Status;Time/Help Availability;Significant Other�s Opinion;Religion,Christian
88,35-39,Male,Married,15,High School Diploma,"$100,000 � $149,999",,15,Two,Two,One,2,Personal Choice;Religion;Relationship Status (or lack thereof);Income;Personal Health;Time/Help Availability;Employment Status;Significant Other�s Opinion;,
191,50-54,Male,Married,1,Bachelor,"$150,000 � $199,999",Canada,15,Two,One,One,7,Income;Personal Choice;Significant Other�s Opinion;Employment Status;Time/Help Availability;Relationship Status (or lack thereof);Personal Health;Religion,Agnostic
225,30-34,Female,Married,2,Bachelor,"$150,000 � $199,999",Canadian,15,Two,Three,One,7,Personal Choice;Significant Other�s Opinion;Relationship Status (or lack thereof);Income;Employment Status;Personal Health;Time/Help Availability;Religion,Agnostic
65,19-24,Female,engaged,1,High School Diploma,"Under $50,000",Canada,15,Two,Zero,One,8,Income;Employment Status;Personal Choice;Time/Help Availability;Relationship Status (or lack thereof);Personal Health;Significant Other�s Opinion;Religion;,Agnostic
99,30-34,Male,Common-law,3,Trades: Red Seal,"$150,000 � $199,999",Canadian ,15,Three,One,One,8,Income;Employment Status;Relationship Status (or lack thereof);Personal Health;Personal Choice;Significant Other�s Opinion;Time/Help Availability;Religion;,Christian
151,60-64,Female,Married,3,Bachelor,,Scotland,15,Two,Two,One,8,Personal Choice;Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Health;Employment Status;Religion;Income;Time/Help Availability,Agnostic
207,70+,Male,Married,7,Trades: Apprentice,"$50,000 � $74,999",Canada,15,Two,Two,One,8,Personal Health;Significant Other�s Opinion;Personal Choice;Relationship Status (or lack thereof);Employment Status;Income;Time/Help Availability;Religion,None
244,60-64,Male,Married,15,Master,"$50,000 � $74,999",Korea/Korean,15,Three,Two,Seven or more,10,Personal Choice;Personal Health;Relationship Status (or lack thereof);Religion;Time/Help Availability;Income;Employment Status;Significant Other�s Opinion,Christian
229,65-69,Male,Married,3,Master,"$100,000 � $149,999",Canadian ,15,Two,One,Seven or more,7,Relationship Status (or lack thereof);Significant Other�s Opinion;Employment Status;Income;Personal Choice;Time/Help Availability;Personal Health;Religion,Catholic
169,65-69,Female,Married,15,Bachelor,"Under $50,000",Assyrian/canadian,15,Four,Four,Six,14,Religion;Relationship Status (or lack thereof);Personal Health;Time/Help Availability;Income;Employment Status;Personal Choice;Significant Other�s Opinion,Christian
79,25-29,Female,Married,5,Master,"$50,000 � $74,999","Austria, Romania, Philippines, Canada",15,Two,Zero,Three,10,Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Significant Other�s Opinion;Personal Choice;Personal Health;Income;Religion;,Agnostic
157,25-29,Female,Married,15,Bachelor,"Under $50,000",Ghanaian,15,Four,Two,Three,10,Income;Time/Help Availability;Employment Status;Personal Health;Relationship Status (or lack thereof);Significant Other�s Opinion;Personal Choice;Religion,Christian
164,35-39,Female,Married,1,Bachelor,"$75,000 � $99,999",Canada,15,Four,Four,Three,10,Employment Status;Relationship Status (or lack thereof);Significant Other�s Opinion;Income;Time/Help Availability;Personal Health;Religion;Personal Choice,None
199,50-54,Female,Common-law,1,High School Diploma,"$50,000 � $74,999",Canada ,15,Three,Three,Three,10,Personal Choice;Significant Other�s Opinion;Relationship Status (or lack thereof);Income;Personal Health;Religion;Employment Status;Time/Help Availability,Agnostic
22,55-59,Male,Married,3,Bachelor,"$100,000 � $149,999",Canada,15,Four,Two,Three,11,Personal Choice;Employment Status;Relationship Status (or lack thereof);Income;Significant Other�s Opinion;Religion;Time/Help Availability;Personal Health;,Hindu
267,35-39,Male,Married,13,Bachelor,"$100,000 � $149,999",Canada,15,Four,Three,Three,11,Religion;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Significant Other�s Opinion;Employment Status;Income;Personal Choice,Christian
13,45-49,Female,Married,14,PhD,"$100,000 � $149,999",Korean,15,Three,One,Three,13,Personal Choice;Personal Health;Income;Employment Status;Religion;Relationship Status (or lack thereof);Time/Help Availability;Significant Other�s Opinion;,Christian
259,50-54,Female,Married,9,Bachelor,,South Korea,15,Two,Two,Three,13,Religion;Relationship Status (or lack thereof);Personal Choice;Personal Health;Significant Other�s Opinion;Income;Employment Status;Time/Help Availability,Christian
161,35-39,Female,Married,3,Master,"$100,000 � $149,999",Argentina ,15,Three,Three,Three,15,Personal Choice;Personal Health;Significant Other�s Opinion;Employment Status;Income;Time/Help Availability;Religion;Relationship Status (or lack thereof),Catholic
171,30-34,Female,Married,8,Bachelor,"$150,000 � $199,999",Canadian ,15,Two,Two,Three,15,Personal Choice;Income;Significant Other�s Opinion;Personal Health;Employment Status;Time/Help Availability;Relationship Status (or lack thereof);Religion,Christian
242,30-34,Female,Married,4,High School Diploma,"Under $50,000",Canada ,15,Four,Three,Three,15,Income;Significant Other�s Opinion;Personal Choice;Time/Help Availability;Personal Health;Employment Status;Religion;Relationship Status (or lack thereof),Christian
111,40-44,Female,Married,4,Master,"$100,000 � $149,999",Iranian,15,Two,One,Three,7,Relationship Status (or lack thereof);Personal Health;Personal Choice;Time/Help Availability;Income;Employment Status;Significant Other�s Opinion;Religion,Muslim/Islam
46,30-34,Male,Married,1,High School Diploma,"$150,000 � $199,999",Canada,15,Three,Three,Three,8,Personal Choice;Time/Help Availability;Income;Significant Other�s Opinion;Relationship Status (or lack thereof);Employment Status;Personal Health;Religion;,Agnostic
148,65-69,Male,Married,1,Trades: Red Seal,"$200,000 � $249,999",Canadian,15,Four,Two,Three,8,Income;Religion;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Significant Other�s Opinion;Personal Choice,
215,30-34,Female,Common-law,3,High School Diploma,"$150,000 � $199,999",Canada,15,Three,Three,Three,9,Personal Choice;Significant Other�s Opinion;Personal Health;Relationship Status (or lack thereof);Income;Time/Help Availability;Employment Status;Religion,Atheist
83,0-18,Male,Single,9,High School Diploma,"Above $300,000",South African  ,15,Three,Zero,Two,1,Income;Time/Help Availability;Employment Status;Relationship Status (or lack thereof);Personal Health;Religion;Significant Other�s Opinion;Personal Choice;,Christian
217,35-39,Female,Married,1,Master,"$200,000 � $249,999",Canada/Canadian,15,Two,Two,Two,1,Income;Personal Choice;Time/Help Availability;Relationship Status (or lack thereof);Personal Health;Employment Status;Religion;Significant Other�s Opinion,Atheist
14,60-64,Female,Married,2,High School Diploma,"$75,000 � $99,999",Canada,15,Two,Two,Two,10,Income;Religion;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Personal Choice;Significant Other�s Opinion;,None
21,35-39,Female,Separated,1,High School Diploma,"Under $50,000",Canada ,15,Four,Two,Two,10,Relationship Status (or lack thereof);Significant Other�s Opinion;Personal Choice;Personal Health;Income;Employment Status;Time/Help Availability;Religion;,
94,30-34,Male,Single,12,Bachelor,"$100,000 � $149,999",Canadian,15,Two,Zero,Two,10,Personal Choice;Significant Other�s Opinion;Income;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Religion;Personal Health;,Christian
102,19-24,Male,Single,4,Trades: Apprentice,"Under $50,000",Canada,15,Four,Zero,Two,10,Personal Choice;Significant Other�s Opinion;Income;Time/Help Availability;Personal Health;Relationship Status (or lack thereof);Employment Status;Religion,Christian
153,30-34,Female,Married,1,Bachelor,"$150,000 � $199,999",Canadian,15,Two,Zero,Two,10,Income;Personal Choice;Employment Status;Time/Help Availability;Personal Health;Significant Other�s Opinion;Religion;Relationship Status (or lack thereof),
213,40-44,Female,Common-law,1,High School Diploma,"$250,000 � $299,999",Canada,15,One,One,Two,10,Relationship Status (or lack thereof);Employment Status;Income;Significant Other�s Opinion;Time/Help Availability;Personal Choice;Personal Health;Religion,
231,50-54,Male,Married,10,Bachelor,"$150,000 � $199,999",Pakistan ,15,Two,Two,Two,10,Relationship Status (or lack thereof);Significant Other�s Opinion;Religion;Income;Personal Health;Time/Help Availability;Personal Choice;Employment Status,Muslim/Islam
254,30-34,Male,Single,10,High School Diploma,"$100,000 � $149,999",Canadian,15,Three,Zero,Two,10,,Atheist
258,55-59,Male,Common-law,1,Bachelor,"$100,000 � $149,999",Canadian,15,Two,Two,Two,10,Significant Other�s Opinion;Employment Status;Relationship Status (or lack thereof);Personal Choice;Personal Health;Time/Help Availability;Income;Religion,Atheist
26,35-39,Female,Married,1,Bachelor,"Above $300,000",Canadian ,15,Two,Two,Two,11,Personal Choice;Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Health;Income;Employment Status;Time/Help Availability;Religion;,None
24,50-54,Female,Married,14,Bachelor,"$200,000 � $249,999",Canadian ,15,Four,Four,Two,12,Personal Choice;Relationship Status (or lack thereof);Income;Religion;Personal Health;Time/Help Availability;Employment Status;Significant Other�s Opinion;,Christian
98,25-29,Male,Common-law,13,Bachelor,"$150,000 � $199,999",Canadian,15,Four,Zero,Two,12,Relationship Status (or lack thereof);Income;Time/Help Availability;Significant Other�s Opinion;Employment Status;Personal Health;Religion;Personal Choice;,Christian
184,55-59,Female,Married,7,High School Diploma,"Under $50,000",Canada,15,Three,Three,Two,12,Personal Choice;Personal Health;Significant Other�s Opinion;Relationship Status (or lack thereof);Employment Status;Income;Time/Help Availability;Religion,Agnostic
218,40-44,Male,Married,15,Master,"$50,000 � $74,999",China,15,Four,Three,Two,12,Income;Personal Health;Relationship Status (or lack thereof);Religion;Employment Status;Time/Help Availability;Personal Choice;Significant Other�s Opinion,Christian
271,45-49,Female,Widow,12,Bachelor,"Under $50,000",Indian/Canadian,15,Two,One,Two,12,Income;Relationship Status (or lack thereof);Employment Status;Personal Choice;Time/Help Availability;Significant Other�s Opinion;Religion;Personal Health,Other (specify: Humanism)
202,25-29,Female,Single,11,High School Diploma,"Under $50,000",Indian,15,Three,Zero,Two,14,Religion;Income;Employment Status;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Personal Choice;Significant Other�s Opinion,Sikh
214,35-39,Female,Common-law,3,Bachelor,"$200,000 � $249,999",Canadian ,15,Three,Two,Two,14,Relationship Status (or lack thereof);Significant Other�s Opinion;Personal Choice;Personal Health;Income;Employment Status;Time/Help Availability;Religion,Christian
224,65-69,Male,Married,1,Trades: Apprentice,"$75,000 � $99,999",Canadian,15,Two,Two,Two,14,Significant Other�s Opinion;Personal Choice;Income;Personal Health;Relationship Status (or lack thereof);Religion;Employment Status;Time/Help Availability,
10,40-44,Female,Married,1,High School Diploma,"$200,000 � $249,999",Canadian ,15,Four,Four,Two,15,Personal Choice;Significant Other�s Opinion;Personal Health;Time/Help Availability;Income;Employment Status;Religion;Relationship Status (or lack thereof);,
40,60-64,Male,Married,1,Master,"$100,000 � $149,999",Canadian ,15,Two,Two,Two,15,Personal Choice;Significant Other�s Opinion;Relationship Status (or lack thereof);Personal Health;Income;Employment Status;Time/Help Availability;Religion;,Catholic
53,30-34,Female,Married,5,Bachelor,"Above $300,000",Canada ,15,Three,Two,Two,15,Income;Personal Health;Time/Help Availability;Relationship Status (or lack thereof);Significant Other�s Opinion;Employment Status;Religion;Personal Choice;,Christian
59,50-54,Female,In a relationship,5,Bachelor,"$100,000 � $149,999",Canadian ,15,Two,Two,Two,15,Relationship Status (or lack thereof);Income;Personal Health;Significant Other�s Opinion;Personal Choice;Employment Status;Time/Help Availability;Religion;,Catholic
74,70+,Female,Married,10,High School Diploma,,Canadian,15,Two,Two,Two,15,Income;Religion;Employment Status;Personal Choice;Personal Health;Time/Help Availability;Significant Other�s Opinion;Relationship Status (or lack thereof);,Christian
80,45-49,Female,Married,10,Bachelor,"$250,000 � $299,999",Canada,15,Two,One,Two,15,Time/Help Availability;Personal Health;Personal Choice;Significant Other�s Opinion;Relationship Status (or lack thereof);Religion;Income;Employment Status;,Christian
85,35-39,Male,Married,1,Bachelor,"$200,000 � $249,999",Canadian ,15,Two,Two,Two,15,Relationship Status (or lack thereof);Significant Other�s Opinion;Employment Status;Income;Personal Choice;Personal Health;Time/Help Availability;Religion;,Atheist
97,19-24,Female,In a relationship,13,High School Diploma,"$250,000 � $299,999",Canadian ,15,Three,Zero,Two,15,Income;Personal Choice;Relationship Status (or lack thereof);Time/Help Availability;Personal Health;Employment Status;Religion;Significant Other�s Opinion;,Buddhist
101,50-54,Female,Married,13,Bachelor,"Above $300,000",Canadian ,15,Four,Three,Two,15,Relationship Status (or lack thereof);Time/Help Availability;Employment Status;Significant Other�s Opinion;Income;Personal Choice;Personal Health;Religion,Agnostic
135,25-29,Male,In a relationship,13,Bachelor,"Under $50,000",South  Asian,15,Two,Zero,Two,15,Income;Personal Choice;Relationship Status (or lack thereof);Employment Status;Personal Health;Time/Help Availability;Religion;Significant Other�s Opinion,Sikh
143,30-34,Female,In a relationship,3,Bachelor,"$75,000 � $99,999",Canadian,15,Three,Zero,Two,15,Personal Choice;Significant Other�s Opinion;Income;Employment Status;Time/Help Availability;Personal Health;Religion;Relationship Status (or lack thereof),Hindu
146,60-64,Female,Common-law,10,High School Diploma,"$50,000 � $74,999",Canada,15,Two,Two,Two,15,Personal Choice;Personal Health;Employment Status;Income;Significant Other�s Opinion;Relationship Status (or lack thereof);Time/Help Availability;Religion,Catholic
150,30-34,Male,Married,15,High School Diploma,"$150,000 � $199,999",Canadian ,15,Two,Two,Two,15,Income;Employment Status;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Personal Health;Significant Other�s Opinion;Religion,Christian
159,45-49,Female,Married,8,Bachelor,"$100,000 � $149,999",Canadian ,15,Two,Two,Two,15,Personal Choice;Personal Health;Time/Help Availability;Income;Employment Status;Relationship Status (or lack thereof);Religion;Significant Other�s Opinion,Muslim/Islam
176,45-49,Female,Married,4,High School Diploma,"Above $300,000",Canada,15,Two,Two,Two,15,Income;Religion;Employment Status;Personal Choice;Time/Help Availability;Relationship Status (or lack thereof);Personal Health;Significant Other�s Opinion,Sikh
210,35-39,Female,Married,1,Bachelor,"$150,000 � $199,999",Greece,15,Three,Three,Two,15,Personal Choice;Time/Help Availability;Significant Other�s Opinion;Relationship Status (or lack thereof);Employment Status;Personal Health;Income;Religion,Atheist
216,30-34,Female,Married,15,High School Diploma,"$50,000 � $74,999",Canada/Canadian,15,Three,Two,Two,15,Time/Help Availability;Significant Other�s Opinion;Income;Personal Choice;Employment Status;Personal Health;Religion;Relationship Status (or lack thereof),Christian
238,45-49,Female,Married,3,Bachelor,"$150,000 � $199,999",Canada ,15,Two,Two,Two,15,Personal Health;Relationship Status (or lack thereof);Personal Choice;Significant Other�s Opinion;Income;Employment Status;Time/Help Availability;Religion,Sikh
264,45-49,Female,Common-law,1,High School Diploma,"$150,000 � $199,999",Canada/Canadian,15,Two,Two,Two,15,Income;Employment Status;Relationship Status (or lack thereof);Personal Choice;Personal Health;Time/Help Availability;Significant Other�s Opinion;Religion,Atheist
23,35-39,Female,Married,9,High School Diploma,"$150,000 � $199,999",Canadian ,15,Two,One,Two,3,Personal Health;Income;Personal Choice;Relationship Status (or lack thereof);Employment Status;Time/Help Availability;Significant Other�s Opinion;Religion;,Christian
181,40-44,Female,Married,1,Bachelor,"Above $300,000",Canada,15,Two,Two,Two,7,Personal Choice;Significant Other�s Opinion;Personal Health;Relationship Status (or lack thereof);Time/Help Availability;Income;Employment Status;Religion,
209,35-39,Male,Married,10,Bachelor,"$150,000 � $199,999",Canada,15,Two,Two,Two,7,Personal Choice;Significant Other�s Opinion;Time/Help Availability;Personal Health;Relationship Status (or lack thereof);Income;Employment Status;Religion,Hindu
76,0-18,Female,Single,12,No High School Diploma,"Under $50,000",philippines,15,Two,Zero,Two,8,Personal Choice;Significant Other�s Opinion;Personal Health;Income;Employment Status;Time/Help Availability;Relationship Status (or lack thereof);Religion;,Christian
93,0-18,Male,In a relationship,1,No High School Diploma,"$150,000 � $199,999",Canadian,15,Two,Zero,Two,8,Religion;Employment Status;Relationship Status (or lack thereof);Personal Health;Income;Time/Help Availability;Personal Choice;Significant Other�s Opinion;,Atheist
167,50-54,Male,Common-law,1,Bachelor,"$150,000 � $199,999",Canada,15,Five,Two,Two,8,Personal Choice;Personal Health;Significant Other�s Opinion;Relationship Status (or lack thereof);Income;Time/Help Availability;Employment Status;Religion,Atheist
197,60-64,Male,Married,12,Bachelor,"$100,000 � $149,999",Canada,15,Two,Two,Two,8,Income;Relationship Status (or lack thereof);Personal Choice;Religion;Employment Status;Time/Help Availability;Personal Health;Significant Other�s Opinion,Christian
105,19-24,Female,In a relationship,15,Bachelor,"$75,000 � $99,999",Canada,15,Two,Zero,Two,9,Personal Health;Religion;Employment Status;Income;Relationship Status (or lack thereof);Personal Choice;Time/Help Availability;Significant Other�s Opinion,Christian
228,0-18,Male,Single,13,No High School Diploma,"$150,000 � $199,999",canada/canadian,15,Three,Three,Two,9,Religion;Personal Choice;Relationship Status (or lack thereof);Employment Status;Income;Time/Help Availability;Personal Health;Significant Other�s Opinion,Christian
33,19-24,Male,Single,14,Bachelor,"Under $50,000",Indian ,15,Two,Zero,Zero,10,Time/Help Availability;Income;Religion;Personal Choice;Employment Status;Relationship Status (or lack thereof);Personal Health;Significant Other�s Opinion;,Hindu
5,0-18,Female,Single,13,No High School Diploma,"Under $50,000",Korea/Korean,15,Three,Zero,Zero,13,Personal Choice;Religion;Personal Health;Employment Status;Income;Time/Help Availability;Relationship Status (or lack thereof);Significant Other�s Opinion;,Christian
31,25-29,Female,Single,10,High School Diploma,"Under $50,000",Canada,15,Two,Zero,Zero,13,Religion;Relationship Status (or lack thereof);Income;Time/Help Availability;Personal Choice;Employment Status;Personal Health;Significant Other�s Opinion;,Hindu
